fighter_name,fighter_url,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,recent_fights_count,fight_0_date,fight_0_event,fight_0_method,fight_0_opponent,fight_0_result,fight_0_round,fight_1_date,fight_1_event,fight_1_method,fight_1_opponent,fight_1_result,fight_1_round,fight_2_date,fight_2_event,fight_2_method,fight_2_opponent,fight_2_result,fight_2_round,fight_3_date,fight_3_event,fight_3_method,fight_3_opponent,fight_3_result,fight_3_round,fight_4_date,fight_4_event,fight_4_method,fight_4_opponent,fight_4_result,fight_4_round,fight_5_date,fight_5_event,fight_5_method,fight_5_opponent,fight_5_result,fight_5_round,fight_6_date,fight_6_event,fight_6_method,fight_6_opponent,fight_6_result,fight_6_round,fight_7_date,fight_7_event,fight_7_method,fight_7_opponent,fight_7_result,fight_7_round,fight_8_date,fight_8_event,fight_8_method,fight_8_opponent,fight_8_result,fight_8_round,fight_9_date,fight_9_event,fight_9_method,fight_9_opponent,fight_9_result,fight_9_round
Alden Coria,http://www.ufcstats.com/fighter-details/5e9ca8dd7d783a75,4.69,44,2.40,69,1.75,50,71,0.0,2,"Feb. 21, 2026",UFC Fight Night: Strickland vs. Hernandez,,Luis Gurule,win,3,"Sep. 13, 2025",UFC Fight Night: Lopes vs. Silva,KO/TKO,Alessandro Costa,win,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stewart Nicoll,http://www.ufcstats.com/fighter-details/2bd98ab77a8daa75,3.63,39,5.84,49,1.63,11,28,0.0,3,"Apr. 04, 2026",UFC Fight Night: Moicano vs. Duncan,KO/TKO,Alessandro Costa,loss,2,"Oct. 11, 2025",UFC Fight Night: Oliveira vs. Gamrot,,Lucas Rocha,loss,3,"Aug. 17, 2024",UFC 305: Du Plessis vs. Adesanya,,Jesus Aguilar,loss,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ Harris,http://www.ufcstats.com/fighter-details/e03187ec8b5b6abc,0.00,0,0.00,0,0.00,0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvin Hines,http://www.ufcstats.com/fighter-details/ab2a4b5e04dc5fe9,5.47,31,7.47,38,1.00,10,0,0.0,1,"Jun. 28, 2025",UFC 317: Topuria vs. Oliveira,,Jhonata Diniz,loss,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna Melisano,http://www.ufcstats.com/fighter-details/40a7ec5d1ad6ffa8,0.00,0,0.00,0,0.00,0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dione Barbosa,http://www.ufcstats.com/fighter-details/27b388f0aab49780,2.21,45,2.40,64,2.40,44,63,1.7,6,"Apr. 04, 2026",UFC Fight Night: Moicano vs. Duncan,,Melissa Gatto,win,3,"Aug. 16, 2025",UFC 319: Du Plessis vs. Chimaev,,Karine Silva,loss,3,"Apr. 05, 2025",UFC Fight Night: Emmett vs. Murphy,,Diana Belbita,win,1,"Jul. 20, 2024",UFC Fight Night: Lemos vs. Jandiroba,,Miranda Maverick,loss,3,"May. 04, 2024",UFC 301: Pantoja vs. Erceg,,Ernesta Kareckaite,win,3,"Sep. 05, 2023",DWCS 7.5,,Rainn Guerrero,win,1,,,,,,,,,,,,,,,,,,,,,,,,
Magomed Ankalaev,http://www.ufcstats.com/fighter-details/d802174b0c0c1f4e,3.65,52,2.59,56,0.79,22,87,0.0,16,"Oct. 04, 2025",UFC 320: Ankalaev vs. Pereira 2,KO/TKO,Alex Pereira,loss,1,"Mar. 08, 2025",UFC 313: Pereira vs. Ankalaev,,Alex Pereira,win,5,"Oct. 26, 2024",UFC 308: Topuria vs. Holloway,,Aleksandar Rakic,win,3,"Jan. 13, 2024",UFC Fight Night: Ankalaev vs. Walker 2,KO/TKO,Johnny Walker,win,2,"Oct. 21, 2023",UFC 294: Makhachev vs. Volkanovski 2,,Johnny Walker,nc,1,"Dec. 10, 2022",UFC 282: Blachowicz vs. Ankalaev,,Jan Blachowicz,draw,5,"Jul. 30, 2022",UFC 277: Pena vs. Nunes 2,KO/TKO,Anthony Smith,win,2,"Mar. 12, 2022",UFC Fight Night: Santos vs. Ankalaev,,Thiago Santos,win,5,"Oct. 30, 2021",UFC 267: Blachowicz vs. Teixeira,,Volkan Oezdemir,win,3,"Feb. 27, 2021",UFC Fight Night: Rozenstruik vs. Gane,,Nikita Krylov,win,3
Khalil Rountree Jr.,http://www.ufcstats.com/fighter-details/749f572d1d3161fb,3.88,40,4.33,49,0.00,0,58,0.1,18,"Oct. 04, 2025",UFC 320: Ankalaev vs. Pereira 2,KO/TKO,Jiri Prochazka,loss,3,"Jun. 21, 2025",UFC Fight Night: Hill vs. Rountree Jr.,,Jamahal Hill,win,5,"Oct. 05, 2024",UFC 307: Pereira vs. Rountree Jr.,KO/TKO,Alex Pereira,loss,4,"Dec. 09, 2023",UFC Fight Night: Song vs. Gutierrez,KO/TKO,Anthony Smith,win,3,"Aug. 12, 2023",UFC Fight Night: Luque vs. Dos Anjos,KO/TKO,Chris Daukaus,win,1,"Oct. 29, 2022",UFC Fight Night: Kattar vs. Allen,,Dustin Jacoby,win,3,"Mar. 12, 2022",UFC Fight Night: Santos vs. Ankalaev,KO/TKO,Karl Roberson,win,2,"Sep. 04, 2021",UFC Fight Night: Brunson vs. Till,KO/TKO,Modestas Bukauskas,win,2,"Jan. 23, 2021",UFC 257: Poirier vs. McGregor,,Marcin Prachnio,loss,3,"Sep. 28, 2019",UFC Fight Night: Hermansson vs. Cannonier,KO/TKO,Ion Cutelaba,loss,1
Steve Erceg,http://www.ufcstats.com/fighter-details/32ab52e5de93092d,4.64,47,4.07,55,1.13,28,67,0.4,8,"May. 02, 2026",UFC Fight Night: Della Maddalena vs. Prates,,Tim Elliott,win,3,"Aug. 09, 2025",UFC Fight Night: Dolidze vs. Hernandez,,Ode Osbourne,win,3,"Mar. 29, 2025",UFC Fight Night: Moreno vs. Erceg,,Brandon Moreno,loss,5,"Aug. 17, 2024",UFC 305: Du Plessis vs. Adesanya,KO/TKO,Kai Kara-France,loss,1,"May. 04, 2024",UFC 301: Pantoja vs. Erceg,,Alexandre Pantoja,loss,5,"Mar. 02, 2024",UFC Fight Night: Rozenstruik vs. Gaziev,KO/TKO,Matt Schnell,win,2,"Nov. 11, 2023",UFC 295: Prochazka vs. Pereira,,Alessandro Costa,win,3,"Jun. 10, 2023",UFC 289: Nunes vs. Aldana,,David Dvorak,win,3,,,,,,,,,,,,
Ramazan Temirov,http://www.ufcstats.com/fighter-details/7d0a1968b38ca439,4.37,40,3.93,59,0.84,50,100,0.0,2,"Mar. 01, 2025",UFC Fight Night: Kape vs. Almabayev,,Charles Johnson,win,3,"Oct. 12, 2024",UFC Fight Night: Royval vs. Taira,KO/TKO,CJ Vergara,win,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
