EVENT,BOUT,ROUND,FIGHTER,KD,SIG.STR.,SIG.STR. %,TOTAL STR.,TD,TD %,SUB.ATT,REV.,CTRL,HEAD,BODY,LEG,DISTANCE,CLINCH,GROUND
UFC Freedom 250,Justin Gaethje vs. Ilia Topuria,Total,Ilia Topuria,10,97 of 16291 of 192,59%47%,111 of 177119 of 228,1 of 30 of 5,33%0%,00,00,2:321:32,,,,,,
UFC Freedom 250,Justin Gaethje vs. Ilia Topuria,Total,Ilia Topuria,00,29 of 5832 of 68,50%47%,29 of 5835 of 71,0 of 00 of 3,---0%,00,00,0:000:00,,,,,,
UFC Freedom 250,Justin Gaethje vs. Ilia Topuria,Total,Ilia Topuria,10,44 of 6012 of 35,73%34%,52 of 6913 of 37,0 of 00 of 1,---0%,00,00,2:020:00,,,,,,
UFC Freedom 250,Justin Gaethje vs. Ilia Topuria,Total,Ilia Topuria,00,7 of 1522 of 36,46%61%,10 of 1831 of 46,0 of 10 of 0,0%---,00,00,0:050:47,,,,,,
UFC Freedom 250,Justin Gaethje vs. Ilia Topuria,Total,Ilia Topuria,00,17 of 2925 of 53,58%47%,20 of 3240 of 74,1 of 20 of 1,50%0%,00,00,0:250:45,,,,,,
UFC Freedom 250,Justin Gaethje vs. Ilia Topuria,Total,Ilia Topuria,,,,,,,,,,29 of 5832 of 68,50%47%,19 of 4830 of 65,7 of 72 of 2,3 of 30 of 1,25 of 5328 of 62
UFC Freedom 250,Justin Gaethje vs. Ilia Topuria,Total,Ilia Topuria,,,,,,,,,,44 of 6012 of 35,73%34%,19 of 3011 of 32,24 of 291 of 3,1 of 10 of 0,29 of 3911 of 32
UFC Freedom 250,Justin Gaethje vs. Ilia Topuria,Total,Ilia Topuria,,,,,,,,,,7 of 1522 of 36,46%61%,5 of 1219 of 32,2 of 32 of 3,0 of 01 of 1,3 of 1016 of 30
UFC Freedom 250,Justin Gaethje vs. Ilia Topuria,Total,Ilia Topuria,,,,,,,,,,17 of 2925 of 53,58%47%,12 of 2219 of 46,4 of 63 of 4,1 of 13 of 3,11 of 2318 of 43
UFC Freedom 250,Ciryl Gane vs. Alex Pereira,Total,Alex Pereira,01,12 of 3354 of 86,36%62%,12 of 3354 of 86,0 of 00 of 2,---0%,00,00,0:000:12,,,,,,
UFC Freedom 250,Ciryl Gane vs. Alex Pereira,Total,Alex Pereira,00,11 of 2623 of 45,42%51%,11 of 2623 of 45,0 of 00 of 1,---0%,00,00,0:000:00,,,,,,
UFC Freedom 250,Ciryl Gane vs. Alex Pereira,Total,Alex Pereira,01,1 of 731 of 41,14%75%,1 of 731 of 41,0 of 00 of 1,---0%,00,00,0:000:12,,,,,,
UFC Freedom 250,Ciryl Gane vs. Alex Pereira,Total,Alex Pereira,,,,,,,,,,11 of 2623 of 45,42%51%,2 of 1310 of 32,1 of 34 of 4,8 of 109 of 9,11 of 2623 of 45
UFC Freedom 250,Ciryl Gane vs. Alex Pereira,Total,Alex Pereira,,,,,,,,,,1 of 731 of 41,14%75%,1 of 729 of 39,0 of 00 of 0,0 of 02 of 2,1 of 713 of 21
UFC Freedom 250,Sean O'Malley vs. Aiemann Zahabi,Total,Sean O'Malley,10,41 of 8132 of 56,50%57%,41 of 8132 of 56,0 of 00 of 0,------,00,00,0:020:00,,,,,,
UFC Freedom 250,Sean O'Malley vs. Aiemann Zahabi,Total,Sean O'Malley,00,14 of 358 of 16,40%50%,14 of 358 of 16,0 of 00 of 0,------,00,00,0:000:00,,,,,,
UFC Freedom 250,Sean O'Malley vs. Aiemann Zahabi,Total,Sean O'Malley,10,27 of 4624 of 40,58%60%,27 of 4624 of 40,0 of 00 of 0,------,00,00,0:020:00,,,,,,
UFC Freedom 250,Sean O'Malley vs. Aiemann Zahabi,Total,Sean O'Malley,,,,,,,,,,14 of 358 of 16,40%50%,7 of 223 of 10,6 of 120 of 0,1 of 15 of 6,14 of 358 of 16
UFC Freedom 250,Sean O'Malley vs. Aiemann Zahabi,Total,Sean O'Malley,,,,,,,,,,27 of 4624 of 40,58%60%,25 of 443 of 15,1 of 10 of 0,1 of 121 of 25,27 of 4624 of 40
UFC Freedom 250,Josh Hokit vs. Derrick Lewis,Total,Josh Hokit,10,86 of 1177 of 40,73%17%,105 of 1388 of 41,2 of 30 of 1,66%0%,10,00,4:040:00,,,,,,
UFC Freedom 250,Josh Hokit vs. Derrick Lewis,Total,Josh Hokit,00,41 of 551 of 5,74%20%,54 of 691 of 5,2 of 20 of 0,100%---,10,00,3:010:00,,,,,,
UFC Freedom 250,Josh Hokit vs. Derrick Lewis,Total,Josh Hokit,10,45 of 626 of 35,72%17%,51 of 697 of 36,0 of 10 of 1,0%0%,00,00,1:030:00,,,,,,
UFC Freedom 250,Josh Hokit vs. Derrick Lewis,Total,Josh Hokit,,,,,,,,,,41 of 551 of 5,74%20%,32 of 441 of 4,4 of 60 of 0,5 of 50 of 1,11 of 181 of 5
UFC Freedom 250,Josh Hokit vs. Derrick Lewis,Total,Josh Hokit,,,,,,,,,,45 of 626 of 35,72%17%,42 of 594 of 33,3 of 32 of 2,0 of 00 of 0,28 of 423 of 29
UFC Freedom 250,Mauricio Ruffy vs. Michael Chandler,Total,Mauricio Ruffy,20,19 of 403 of 12,47%25%,20 of 413 of 12,0 of 00 of 3,---0%,00,00,0:130:00,,,,,,
UFC Freedom 250,Mauricio Ruffy vs. Michael Chandler,Total,Mauricio Ruffy,20,19 of 403 of 12,47%25%,20 of 413 of 12,0 of 00 of 3,---0%,00,00,0:130:00,,,,,,
UFC Freedom 250,Mauricio Ruffy vs. Michael Chandler,Total,Mauricio Ruffy,,,,,,,,,,19 of 403 of 12,47%25%,16 of 362 of 7,1 of 20 of 3,2 of 21 of 2,17 of 373 of 12
UFC Freedom 250,Bo Nickal vs. Kyle Daukaus,Total,Bo Nickal,10,16 of 242 of 7,66%28%,44 of 5326 of 31,1 of 10 of 0,100%---,00,00,3:140:00,,,,,,
UFC Freedom 250,Bo Nickal vs. Kyle Daukaus,Total,Bo Nickal,10,16 of 242 of 7,66%28%,44 of 5326 of 31,1 of 10 of 0,100%---,00,00,3:140:00,,,,,,
UFC Freedom 250,Bo Nickal vs. Kyle Daukaus,Total,Bo Nickal,,,,,,,,,,16 of 242 of 7,66%28%,15 of 231 of 6,0 of 00 of 0,1 of 11 of 1,7 of 132 of 7
UFC Freedom 250,Diego Lopes vs. Steve Garcia,Total,Diego Lopes,10,24 of 6647 of 104,36%45%,24 of 6647 of 104,0 of 10 of 0,0%---,00,00,0:050:00,,,,,,
UFC Freedom 250,Diego Lopes vs. Steve Garcia,Total,Diego Lopes,00,6 of 3223 of 57,18%40%,6 of 3223 of 57,0 of 10 of 0,0%---,00,00,0:000:00,,,,,,
UFC Freedom 250,Diego Lopes vs. Steve Garcia,Total,Diego Lopes,10,18 of 3424 of 47,52%51%,18 of 3424 of 47,0 of 00 of 0,------,00,00,0:050:00,,,,,,
UFC Freedom 250,Diego Lopes vs. Steve Garcia,Total,Diego Lopes,,,,,,,,,,6 of 3223 of 57,18%40%,4 of 2612 of 45,1 of 53 of 4,1 of 18 of 8,6 of 3223 of 57
UFC Freedom 250,Diego Lopes vs. Steve Garcia,Total,Diego Lopes,,,,,,,,,,18 of 3424 of 47,52%51%,17 of 3121 of 44,1 of 30 of 0,0 of 03 of 3,11 of 2624 of 47
UFC Fight Night: Muhammad vs. Bonfim,Gabriel Bonfim vs. Belal Muhammad,Total,Belal Muhammad,00,86 of 275128 of 260,31%49%,86 of 275128 of 261,0 of 20 of 1,0%0%,00,00,0:080:00,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Gabriel Bonfim vs. Belal Muhammad,Total,Belal Muhammad,00,13 of 3614 of 37,36%37%,13 of 3614 of 37,0 of 00 of 0,------,00,00,0:000:00,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Gabriel Bonfim vs. Belal Muhammad,Total,Belal Muhammad,00,20 of 5430 of 60,37%50%,20 of 5430 of 60,0 of 00 of 1,---0%,00,00,0:000:00,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Gabriel Bonfim vs. Belal Muhammad,Total,Belal Muhammad,00,14 of 3923 of 50,35%46%,14 of 3923 of 51,0 of 20 of 0,0%---,00,00,0:080:00,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Gabriel Bonfim vs. Belal Muhammad,Total,Belal Muhammad,00,17 of 6526 of 53,26%49%,17 of 6526 of 53,0 of 00 of 0,------,00,00,0:000:00,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Gabriel Bonfim vs. Belal Muhammad,Total,Belal Muhammad,00,22 of 8135 of 60,27%58%,22 of 8135 of 60,0 of 00 of 0,------,00,00,0:000:00,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Gabriel Bonfim vs. Belal Muhammad,Total,Belal Muhammad,,,,,,,,,,13 of 3614 of 37,36%37%,9 of 304 of 27,0 of 13 of 3,4 of 57 of 7,13 of 3614 of 37
UFC Fight Night: Muhammad vs. Bonfim,Gabriel Bonfim vs. Belal Muhammad,Total,Belal Muhammad,,,,,,,,,,20 of 5430 of 60,37%50%,12 of 4514 of 42,5 of 61 of 1,3 of 315 of 17,20 of 5430 of 60
UFC Fight Night: Muhammad vs. Bonfim,Gabriel Bonfim vs. Belal Muhammad,Total,Belal Muhammad,,,,,,,,,,14 of 3923 of 50,35%46%,8 of 3213 of 40,6 of 73 of 3,0 of 07 of 7,14 of 3823 of 50
UFC Fight Night: Muhammad vs. Bonfim,Gabriel Bonfim vs. Belal Muhammad,Total,Belal Muhammad,,,,,,,,,,17 of 6526 of 53,26%49%,8 of 5222 of 48,7 of 102 of 2,2 of 32 of 3,17 of 6526 of 53
UFC Fight Night: Muhammad vs. Bonfim,Gabriel Bonfim vs. Belal Muhammad,Total,Belal Muhammad,,,,,,,,,,22 of 8135 of 60,27%58%,15 of 6930 of 55,4 of 92 of 2,3 of 33 of 3,22 of 8033 of 58
UFC Fight Night: Muhammad vs. Bonfim,Brendan Allen vs. Edmen Shahbazyan,Total,Brendan Allen,00,89 of 19490 of 180,45%50%,91 of 19690 of 180,1 of 40 of 1,25%0%,00,00,0:280:08,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Brendan Allen vs. Edmen Shahbazyan,Total,Brendan Allen,00,20 of 5022 of 38,40%57%,21 of 5122 of 38,0 of 20 of 0,0%---,00,00,0:160:00,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Brendan Allen vs. Edmen Shahbazyan,Total,Brendan Allen,00,28 of 6432 of 59,43%54%,29 of 6532 of 59,0 of 10 of 0,0%---,00,00,0:020:00,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Brendan Allen vs. Edmen Shahbazyan,Total,Brendan Allen,00,41 of 8036 of 83,51%43%,41 of 8036 of 83,1 of 10 of 1,100%0%,00,00,0:100:08,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Brendan Allen vs. Edmen Shahbazyan,Total,Brendan Allen,,,,,,,,,,20 of 5022 of 38,40%57%,9 of 3318 of 33,4 of 102 of 2,7 of 72 of 3,19 of 4819 of 35
UFC Fight Night: Muhammad vs. Bonfim,Brendan Allen vs. Edmen Shahbazyan,Total,Brendan Allen,,,,,,,,,,28 of 6432 of 59,43%54%,17 of 5332 of 58,3 of 30 of 0,8 of 80 of 1,24 of 5531 of 56
UFC Fight Night: Muhammad vs. Bonfim,Brendan Allen vs. Edmen Shahbazyan,Total,Brendan Allen,,,,,,,,,,41 of 8036 of 83,51%43%,35 of 7433 of 80,3 of 32 of 2,3 of 31 of 1,36 of 7135 of 82
UFC Fight Night: Muhammad vs. Bonfim,Tom Nolan vs. Fares Ziam,Total,Fares Ziam,00,16 of 3231 of 66,50%46%,48 of 7065 of 116,3 of 52 of 6,60%33%,10,11,5:076:47,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Tom Nolan vs. Fares Ziam,Total,Fares Ziam,00,6 of 1313 of 25,46%52%,14 of 2324 of 42,1 of 22 of 2,50%100%,00,10,1:382:05,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Tom Nolan vs. Fares Ziam,Total,Fares Ziam,00,6 of 1312 of 19,46%63%,14 of 2226 of 37,0 of 10 of 2,0%0%,10,00,0:493:10,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Tom Nolan vs. Fares Ziam,Total,Fares Ziam,00,4 of 66 of 22,66%27%,20 of 2515 of 37,2 of 20 of 2,100%0%,00,01,2:401:32,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Tom Nolan vs. Fares Ziam,Total,Fares Ziam,,,,,,,,,,6 of 1313 of 25,46%52%,5 of 126 of 14,0 of 03 of 5,1 of 14 of 6,5 of 128 of 16
UFC Fight Night: Muhammad vs. Bonfim,Tom Nolan vs. Fares Ziam,Total,Fares Ziam,,,,,,,,,,6 of 1312 of 19,46%63%,3 of 104 of 9,2 of 25 of 6,1 of 13 of 4,5 of 114 of 7
UFC Fight Night: Muhammad vs. Bonfim,Tom Nolan vs. Fares Ziam,Total,Fares Ziam,,,,,,,,,,4 of 66 of 22,66%27%,3 of 43 of 15,1 of 23 of 5,0 of 00 of 2,2 of 31 of 9
UFC Fight Night: Muhammad vs. Bonfim,Bryce Mitchell vs. Santiago Luna,Total,Bryce Mitchell,00,22 of 419 of 25,53%36%,54 of 77112 of 130,2 of 50 of 1,40%0%,21,11,11:401:14,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Bryce Mitchell vs. Santiago Luna,Total,Bryce Mitchell,00,11 of 133 of 4,84%75%,18 of 2058 of 59,0 of 10 of 1,0%0%,00,00,4:080:04,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Bryce Mitchell vs. Santiago Luna,Total,Bryce Mitchell,00,9 of 223 of 12,40%25%,20 of 3615 of 25,2 of 30 of 0,66%---,00,01,3:410:24,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Bryce Mitchell vs. Santiago Luna,Total,Bryce Mitchell,00,2 of 63 of 9,33%33%,16 of 2139 of 46,0 of 10 of 0,0%---,21,10,3:510:46,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Bryce Mitchell vs. Santiago Luna,Total,Bryce Mitchell,,,,,,,,,,11 of 133 of 4,84%75%,6 of 72 of 2,2 of 21 of 2,3 of 40 of 0,7 of 93 of 4
UFC Fight Night: Muhammad vs. Bonfim,Bryce Mitchell vs. Santiago Luna,Total,Bryce Mitchell,,,,,,,,,,9 of 223 of 12,40%25%,1 of 122 of 7,8 of 90 of 4,0 of 11 of 1,3 of 163 of 12
UFC Fight Night: Muhammad vs. Bonfim,Bryce Mitchell vs. Santiago Luna,Total,Bryce Mitchell,,,,,,,,,,2 of 63 of 9,33%33%,2 of 50 of 4,0 of 13 of 5,0 of 00 of 0,2 of 63 of 9
UFC Fight Night: Muhammad vs. Bonfim,Iwo Baraniewski vs. Junior Tafa,Total,Iwo Baraniewski,10,6 of 220 of 8,27%0%,6 of 220 of 8,0 of 10 of 0,0%---,00,00,0:170:00,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Iwo Baraniewski vs. Junior Tafa,Total,Iwo Baraniewski,10,6 of 220 of 8,27%0%,6 of 220 of 8,0 of 10 of 0,0%---,00,00,0:170:00,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Iwo Baraniewski vs. Junior Tafa,Total,Iwo Baraniewski,,,,,,,,,,6 of 220 of 8,27%0%,2 of 180 of 6,1 of 10 of 2,3 of 30 of 0,4 of 60 of 8
UFC Fight Night: Muhammad vs. Bonfim,Alessandro Costa vs. Matt Schnell,Total,Matt Schnell,01,8 of 2119 of 23,38%82%,8 of 2119 of 23,0 of 00 of 0,------,00,00,0:000:05,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Alessandro Costa vs. Matt Schnell,Total,Matt Schnell,01,8 of 2119 of 23,38%82%,8 of 2119 of 23,0 of 00 of 0,------,00,00,0:000:05,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Alessandro Costa vs. Matt Schnell,Total,Matt Schnell,,,,,,,,,,8 of 2119 of 23,38%82%,5 of 1716 of 18,1 of 22 of 2,2 of 21 of 3,8 of 217 of 11
UFC Fight Night: Muhammad vs. Bonfim,Marcus McGhee vs. John Yannis,Total,Marcus McGhee,00,79 of 20255 of 115,39%47%,79 of 20255 of 115,0 of 20 of 0,0%---,00,00,0:000:00,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Marcus McGhee vs. John Yannis,Total,Marcus McGhee,00,14 of 5113 of 40,27%32%,14 of 5113 of 40,0 of 00 of 0,------,00,00,0:000:00,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Marcus McGhee vs. John Yannis,Total,Marcus McGhee,00,35 of 9330 of 45,37%66%,35 of 9330 of 45,0 of 00 of 0,------,00,00,0:000:00,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Marcus McGhee vs. John Yannis,Total,Marcus McGhee,00,30 of 5812 of 30,51%40%,30 of 5812 of 30,0 of 20 of 0,0%---,00,00,0:000:00,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Marcus McGhee vs. John Yannis,Total,Marcus McGhee,,,,,,,,,,14 of 5113 of 40,27%32%,11 of 443 of 22,2 of 57 of 15,1 of 23 of 3,14 of 5113 of 40
UFC Fight Night: Muhammad vs. Bonfim,Marcus McGhee vs. John Yannis,Total,Marcus McGhee,,,,,,,,,,35 of 9330 of 45,37%66%,27 of 8117 of 30,6 of 910 of 12,2 of 33 of 3,35 of 9330 of 45
UFC Fight Night: Muhammad vs. Bonfim,Marcus McGhee vs. John Yannis,Total,Marcus McGhee,,,,,,,,,,30 of 5812 of 30,51%40%,22 of 467 of 25,5 of 83 of 3,3 of 42 of 2,30 of 5811 of 29
UFC Fight Night: Muhammad vs. Bonfim,Edgar Chairez vs. Bruno Silva,Total,Bruno Silva,02,17 of 2924 of 44,58%54%,17 of 2924 of 44,0 of 30 of 0,0%---,01,00,0:000:24,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Edgar Chairez vs. Bruno Silva,Total,Bruno Silva,02,17 of 2924 of 44,58%54%,17 of 2924 of 44,0 of 30 of 0,0%---,01,00,0:000:24,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Edgar Chairez vs. Bruno Silva,Total,Bruno Silva,,,,,,,,,,17 of 2924 of 44,58%54%,11 of 2220 of 37,3 of 42 of 5,3 of 32 of 2,17 of 2921 of 38
UFC Fight Night: Muhammad vs. Bonfim,Chelsea Chandler vs. Priscila Cachoeira,Total,Priscila Cachoeira,01,7 of 1311 of 25,53%44%,9 of 1624 of 41,1 of 10 of 0,100%---,01,00,0:231:52,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Chelsea Chandler vs. Priscila Cachoeira,Total,Priscila Cachoeira,01,7 of 1311 of 25,53%44%,9 of 1624 of 41,1 of 10 of 0,100%---,01,00,0:231:52,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Chelsea Chandler vs. Priscila Cachoeira,Total,Priscila Cachoeira,,,,,,,,,,7 of 1311 of 25,53%44%,6 of 119 of 22,0 of 12 of 3,1 of 10 of 0,6 of 129 of 22
UFC Fight Night: Muhammad vs. Bonfim,Joanderson Brito vs. Jordan Leavitt,Total,Jordan Leavitt,00,7 of 95 of 13,77%38%,27 of 2915 of 24,0 of 50 of 0,0%---,11,10,2:211:17,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Joanderson Brito vs. Jordan Leavitt,Total,Jordan Leavitt,00,7 of 95 of 13,77%38%,27 of 2915 of 24,0 of 50 of 0,0%---,11,10,2:211:17,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Joanderson Brito vs. Jordan Leavitt,Total,Jordan Leavitt,,,,,,,,,,7 of 95 of 13,77%38%,3 of 33 of 10,4 of 62 of 2,0 of 00 of 1,3 of 43 of 11
UFC Fight Night: Muhammad vs. Bonfim,Jeisla Chaves vs. Yuneisy Duben,Total,Jeisla Chaves,00,64 of 9962 of 112,64%55%,92 of 136110 of 165,3 of 62 of 4,50%50%,10,01,4:293:18,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Jeisla Chaves vs. Yuneisy Duben,Total,Jeisla Chaves,00,28 of 5326 of 56,52%46%,31 of 5639 of 69,0 of 01 of 2,---50%,00,00,0:000:37,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Jeisla Chaves vs. Yuneisy Duben,Total,Jeisla Chaves,00,18 of 2512 of 20,72%60%,38 of 5225 of 33,1 of 30 of 1,33%0%,10,00,3:010:26,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Jeisla Chaves vs. Yuneisy Duben,Total,Jeisla Chaves,00,18 of 2124 of 36,85%66%,23 of 2846 of 63,2 of 31 of 1,66%100%,00,01,1:282:15,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Jeisla Chaves vs. Yuneisy Duben,Total,Jeisla Chaves,,,,,,,,,,28 of 5326 of 56,52%46%,11 of 3314 of 36,10 of 136 of 8,7 of 76 of 12,24 of 4623 of 52
UFC Fight Night: Muhammad vs. Bonfim,Jeisla Chaves vs. Yuneisy Duben,Total,Jeisla Chaves,,,,,,,,,,18 of 2512 of 20,72%60%,11 of 189 of 17,5 of 53 of 3,2 of 20 of 0,7 of 1411 of 19
UFC Fight Night: Muhammad vs. Bonfim,Jeisla Chaves vs. Yuneisy Duben,Total,Jeisla Chaves,,,,,,,,,,18 of 2124 of 36,85%66%,13 of 1518 of 30,5 of 65 of 5,0 of 01 of 1,5 of 810 of 19
UFC Fight Night: Muhammad vs. Bonfim,Ketlen Souza vs. Ariane Carnelossi,Total,Ketlen Souza,10,13 of 178 of 21,76%38%,13 of 178 of 21,0 of 00 of 0,------,00,00,0:030:00,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Ketlen Souza vs. Ariane Carnelossi,Total,Ketlen Souza,10,13 of 178 of 21,76%38%,13 of 178 of 21,0 of 00 of 0,------,00,00,0:030:00,,,,,,
UFC Fight Night: Muhammad vs. Bonfim,Ketlen Souza vs. Ariane Carnelossi,Total,Ketlen Souza,,,,,,,,,,13 of 178 of 21,76%38%,11 of 154 of 12,0 of 03 of 8,2 of 21 of 1,12 of 168 of 21
UFC Fight Night: Song vs. Figueiredo,Song Yadong vs. Deiveson Figueiredo,Total,Song Yadong,00,24 of 529 of 17,46%52%,30 of 5817 of 26,1 of 11 of 4,100%25%,10,00,0:030:35,,,,,,
UFC Fight Night: Song vs. Figueiredo,Song Yadong vs. Deiveson Figueiredo,Total,Song Yadong,00,9 of 226 of 6,40%100%,14 of 2714 of 15,0 of 00 of 2,---0%,00,00,0:000:28,,,,,,
UFC Fight Night: Song vs. Figueiredo,Song Yadong vs. Deiveson Figueiredo,Total,Song Yadong,00,15 of 303 of 11,50%27%,16 of 313 of 11,1 of 11 of 2,100%50%,10,00,0:030:07,,,,,,
UFC Fight Night: Song vs. Figueiredo,Song Yadong vs. Deiveson Figueiredo,Total,Song Yadong,,,,,,,,,,9 of 226 of 6,40%100%,0 of 91 of 1,1 of 34 of 4,8 of 101 of 1,9 of 226 of 6
UFC Fight Night: Song vs. Figueiredo,Song Yadong vs. Deiveson Figueiredo,Total,Song Yadong,,,,,,,,,,15 of 303 of 11,50%27%,6 of 201 of 7,3 of 41 of 3,6 of 61 of 1,14 of 283 of 11
UFC Fight Night: Song vs. Figueiredo,Alonzo Menifield vs. Zhang Mingyang,Total,Zhang Mingyang,02,16 of 3728 of 52,43%53%,28 of 5142 of 68,0 of 00 of 0,------,00,00,0:431:47,,,,,,
UFC Fight Night: Song vs. Figueiredo,Alonzo Menifield vs. Zhang Mingyang,Total,Zhang Mingyang,02,16 of 3728 of 52,43%53%,28 of 5142 of 68,0 of 00 of 0,------,00,00,0:431:47,,,,,,
UFC Fight Night: Song vs. Figueiredo,Alonzo Menifield vs. Zhang Mingyang,Total,Zhang Mingyang,,,,,,,,,,16 of 3728 of 52,43%53%,2 of 2126 of 50,13 of 150 of 0,1 of 12 of 2,7 of 2723 of 44
UFC Fight Night: Song vs. Figueiredo,Sergei Pavlovich vs. Tallison Teixeira,Total,Sergei Pavlovich,10,7 of 90 of 4,77%0%,10 of 130 of 4,0 of 00 of 0,------,00,00,0:050:00,,,,,,
UFC Fight Night: Song vs. Figueiredo,Sergei Pavlovich vs. Tallison Teixeira,Total,Sergei Pavlovich,10,7 of 90 of 4,77%0%,10 of 130 of 4,0 of 00 of 0,------,00,00,0:050:00,,,,,,
UFC Fight Night: Song vs. Figueiredo,Sergei Pavlovich vs. Tallison Teixeira,Total,Sergei Pavlovich,,,,,,,,,,7 of 90 of 4,77%0%,7 of 90 of 2,0 of 00 of 0,0 of 00 of 2,6 of 70 of 4
UFC Fight Night: Song vs. Figueiredo,Kai Asakura vs. Cameron Smotherman,Total,Kai Asakura,10,9 of 213 of 7,42%42%,9 of 213 of 7,0 of 00 of 0,------,00,00,0:030:00,,,,,,
UFC Fight Night: Song vs. Figueiredo,Kai Asakura vs. Cameron Smotherman,Total,Kai Asakura,10,9 of 213 of 7,42%42%,9 of 213 of 7,0 of 00 of 0,------,00,00,0:030:00,,,,,,
UFC Fight Night: Song vs. Figueiredo,Kai Asakura vs. Cameron Smotherman,Total,Kai Asakura,,,,,,,,,,9 of 213 of 7,42%42%,6 of 173 of 6,2 of 20 of 1,1 of 20 of 0,8 of 183 of 7
UFC Fight Night: Song vs. Figueiredo,Jake Matthews vs. Carlston Harris,Total,Jake Matthews,10,55 of 9627 of 75,57%36%,109 of 17340 of 88,0 of 00 of 3,---0%,00,01,9:300:27,,,,,,
UFC Fight Night: Song vs. Figueiredo,Jake Matthews vs. Carlston Harris,Total,Jake Matthews,00,46 of 8325 of 69,55%36%,46 of 8325 of 69,0 of 00 of 2,---0%,00,00,0:200:00,,,,,,
UFC Fight Night: Song vs. Figueiredo,Jake Matthews vs. Carlston Harris,Total,Jake Matthews,00,1 of 10 of 0,100%---,22 of 267 of 7,0 of 00 of 1,---0%,00,01,4:250:27,,,,,,
UFC Fight Night: Song vs. Figueiredo,Jake Matthews vs. Carlston Harris,Total,Jake Matthews,10,8 of 122 of 6,66%33%,41 of 648 of 12,0 of 00 of 0,------,00,00,4:450:00,,,,,,
UFC Fight Night: Song vs. Figueiredo,Jake Matthews vs. Carlston Harris,Total,Jake Matthews,,,,,,,,,,46 of 8325 of 69,55%36%,37 of 7410 of 52,9 of 911 of 12,0 of 04 of 5,46 of 8325 of 69
UFC Fight Night: Song vs. Figueiredo,Jake Matthews vs. Carlston Harris,Total,Jake Matthews,,,,,,,,,,1 of 10 of 0,100%---,1 of 10 of 0,0 of 00 of 0,0 of 00 of 0,0 of 00 of 0
UFC Fight Night: Song vs. Figueiredo,Jake Matthews vs. Carlston Harris,Total,Jake Matthews,,,,,,,,,,8 of 122 of 6,66%33%,8 of 122 of 5,0 of 00 of 1,0 of 00 of 0,3 of 62 of 6
UFC Fight Night: Song vs. Figueiredo,Luis Felipe Dias vs. YiSak Lee,Total,YiSak Lee,01,10 of 2521 of 40,40%52%,10 of 2521 of 40,0 of 00 of 0,------,00,00,0:000:03,,,,,,
UFC Fight Night: Song vs. Figueiredo,Luis Felipe Dias vs. YiSak Lee,Total,YiSak Lee,01,10 of 2521 of 40,40%52%,10 of 2521 of 40,0 of 00 of 0,------,00,00,0:000:03,,,,,,
UFC Fight Night: Song vs. Figueiredo,Luis Felipe Dias vs. YiSak Lee,Total,YiSak Lee,,,,,,,,,,10 of 2521 of 40,40%52%,3 of 1514 of 31,1 of 23 of 4,6 of 84 of 5,10 of 2518 of 36
UFC Fight Night: Song vs. Figueiredo,Jose Souza vs. Ding Meng,Total,Ding Meng,00,63 of 14672 of 153,43%47%,63 of 14672 of 153,0 of 00 of 0,------,00,00,0:000:00,,,,,,
