fighter_name,first_name,last_name,nickname,fighter_url,height,weight,reach,stance,wins,losses,draws
Ashiek Ajim,Ashiek,Ajim,Peak Physique,http://www.ufcstats.com/fighter-details/49dea784f6cfed71,"5' 8""",135 lbs.,"71.0""",Switch,6,2,0
Hitomi Akano,Hitomi,Akano,Girlfight Monster,http://www.ufcstats.com/fighter-details/2eada40ac8801559,"5' 4""",135 lbs.,--,Southpaw,18,10,0
Omari Akhmedov,Omari,Akhmedov,Wolverine,http://www.ufcstats.com/fighter-details/16690d100f995f8f,"6' 0""",185 lbs.,"73.0""",Orthodox,21,6,1
Yoshihiro Akiyama,Yoshihiro,Akiyama,,http://www.ufcstats.com/fighter-details/b0550072e5f0afa7,"5' 10""",170 lbs.,"75.0""",Orthodox,14,6,0
Rostem Akman,Rostem,Akman,,http://www.ufcstats.com/fighter-details/1fc64507a0cb38cf,"5' 10""",170 lbs.,"72.0""",Switch,6,2,0
Razak Al-Hassan,Razak,Al-Hassan,,http://www.ufcstats.com/fighter-details/38b50fd1e1b5b656,"6' 2""",205 lbs.,--,Orthodox,13,5,0
Abdul-Kareem Al-Selwady,Abdul-Kareem,Al-Selwady,Pride of Palestine,http://www.ufcstats.com/fighter-details/597499ac7a5aac62,"5' 8""",155 lbs.,"69.0""",Orthodox,16,4,0
Mostapha Al-Turk,Mostapha,Al-Turk,,http://www.ufcstats.com/fighter-details/1cf1310684a841f5,"6' 2""",245 lbs.,"77.0""",Orthodox,6,6,0
Herdem Alacabek,Herdem,Alacabek,,http://www.ufcstats.com/fighter-details/7578cc6bd750206b,"6' 2""",205 lbs.,"75.0""",Orthodox,5,1,0
Javi Alanis,Javi,Alanis,,http://www.ufcstats.com/fighter-details/2144954270be834d,"5' 6""",135 lbs.,--,,0,4,0
Alatengheili,,Alatengheili,The Mongolian Knight,http://www.ufcstats.com/fighter-details/1897b7b913736a7c,"5' 5""",135 lbs.,"66.0""",Orthodox,17,10,2
Amir Albazi,Amir,Albazi,The Prince,http://www.ufcstats.com/fighter-details/6d35bf94f7d30241,"5' 5""",125 lbs.,"68.0""",Orthodox,17,3,0
Brett Albee,Brett,Albee,,http://www.ufcstats.com/fighter-details/9b28292abe3166d5,--,225 lbs.,--,,3,2,0
John Albert,John,Albert,Prince,http://www.ufcstats.com/fighter-details/7bd94b60d7521e4a,"5' 8""",135 lbs.,"68.0""",Orthodox,6,5,0
Junior Albini,Junior,Albini,Baby,http://www.ufcstats.com/fighter-details/c482c8605455a213,"6' 3""",264 lbs.,"74.0""",Orthodox,14,6,0
Wes Albritton,Wes,Albritton,,http://www.ufcstats.com/fighter-details/184b955181bdef52,"5' 10""",188 lbs.,--,Orthodox,0,1,0
