fighter_name,first_name,last_name,nickname,fighter_url,height,weight,reach,stance,wins,losses,draws
Laverne Clark,Laverne,Clark,,http://www.ufcstats.com/fighter-details/1c2f2571b18791b6,"5' 11""",170 lbs.,--,Orthodox,27,21,1
Logan Clark,Logan,Clark,,http://www.ufcstats.com/fighter-details/6776260cb0aef647,"6' 2""",185 lbs.,--,Orthodox,18,6,0
Mychal Clark,Mychal,Clark,,http://www.ufcstats.com/fighter-details/69108cb8b32efe04,"6' 3""",224 lbs.,--,Orthodox,10,14,0
Dominic Clark,Dominic,Clark,,http://www.ufcstats.com/fighter-details/8a64b3f87ad29d1e,"5' 10""",155 lbs.,--,,10,7,0
Heather Clark,Heather,Clark,Hurricane,http://www.ufcstats.com/fighter-details/dd4c16777fb2ccf9,"5' 6""",115 lbs.,"64.0""",Orthodox,7,6,0
Devin Clark,Devin,Clark,Brown Bear,http://www.ufcstats.com/fighter-details/cc7040fe76f0ef91,"6' 0""",205 lbs.,"75.0""",Orthodox,14,9,0
Jessica-Rose Clark,Jessica-Rose,Clark,,http://www.ufcstats.com/fighter-details/6c8072b61c276e67,"5' 5""",135 lbs.,"64.0""",Orthodox,11,9,0
Shannon Clark,Shannon,Clark,MMA Barbie,http://www.ufcstats.com/fighter-details/7ae36b3791e0969a,"5' 5""",125 lbs.,"64.0""",Orthodox,5,1,0
John Clarke,John,Clarke,,http://www.ufcstats.com/fighter-details/a77c71a574132188,--,170 lbs.,--,,1,1,0
Mitch Clarke,Mitch,Clarke,Danger Zone,http://www.ufcstats.com/fighter-details/c76ec2bc3a57666a,"5' 10""",155 lbs.,"73.0""",Orthodox,11,5,0
Rich Clementi,Rich,Clementi,No Love,http://www.ufcstats.com/fighter-details/7d21de9c6d7c98b2,"5' 9""",155 lbs.,"72.0""",Southpaw,45,23,1
Chris Clements,Chris,Clements,The Menace,http://www.ufcstats.com/fighter-details/e5ecaf884b6da2bc,"5' 10""",170 lbs.,"70.0""",Orthodox,12,6,0
RJ Clifford,RJ,Clifford,,http://www.ufcstats.com/fighter-details/8e32bfcff3ec1717,--,160 lbs.,--,,4,3,0
Mark Climaco,Mark,Climaco,,http://www.ufcstats.com/fighter-details/60098849c703e389,"5' 4""",125 lbs.,"65.0""",Southpaw,9,2,0
Josh Clopton,Josh,Clopton,The Gentleman,http://www.ufcstats.com/fighter-details/48e96d9cea6d4ab0,"5' 6""",145 lbs.,--,Orthodox,6,2,1
Brian Cobb,Brian,Cobb,,http://www.ufcstats.com/fighter-details/3138fab619faf4d1,"5' 11""",155 lbs.,--,Orthodox,20,9,0
Darryl Cobb,Darryl,Cobb,,http://www.ufcstats.com/fighter-details/dc6d8256ee3dfba5,"5' 9""",185 lbs.,--,,6,8,0
Dave Cochran,Dave,Cochran,,http://www.ufcstats.com/fighter-details/6dbb1107de9a4a08,"5' 6""",155 lbs.,--,,26,29,1
Dakota Cochrane,Dakota,Cochrane,,http://www.ufcstats.com/fighter-details/8fa7e0bc052185ce,"5' 8""",155 lbs.,--,,29,12,0
Marloes Coenen,Marloes,Coenen,,http://www.ufcstats.com/fighter-details/0b77a05bcbd2de74,"5' 9""",145 lbs.,"67.0""",,23,8,0
Marc Cofer,Marc,Cofer,,http://www.ufcstats.com/fighter-details/e90d9d0681270953,--,185 lbs.,--,,7,5,0
John Cofer,John,Cofer,The Potter,http://www.ufcstats.com/fighter-details/8b260672a21d1fd6,"5' 9""",155 lbs.,--,Southpaw,8,4,0
Chris Coggins,Chris,Coggins,,http://www.ufcstats.com/fighter-details/a0c29b13f7a5df32,--,--,--,,7,10,0
Felipe Colares,Felipe,Colares,Cabocao,http://www.ufcstats.com/fighter-details/dbac0a413af64bbe,"5' 8""",145 lbs.,"69.0""",Orthodox,10,4,0
Wayne Cole,Wayne,Cole,,http://www.ufcstats.com/fighter-details/2eab7a6c8b0ed8cc,"6' 1""",205 lbs.,--,Orthodox,16,25,0
Devin Cole,Devin,Cole,,http://www.ufcstats.com/fighter-details/1174782eacde9b0c,"6' 4""",240 lbs.,--,Orthodox,20,10,1
Coltin Cole,Coltin,Cole,,http://www.ufcstats.com/fighter-details/cecd72feb0d640e3,--,185 lbs.,--,,4,5,0
Ivan Cole,Ivan,Cole,JP,http://www.ufcstats.com/fighter-details/987b80f57190d6d0,"5' 9""",135 lbs.,--,,2,3,0
Chandler Cole,Chandler,Cole,The Hammer,http://www.ufcstats.com/fighter-details/5d8a9c95af50280a,"5' 10""",264 lbs.,"72.0""",Orthodox,10,4,0
Mark Coleman,Mark,Coleman,The Hammer,http://www.ufcstats.com/fighter-details/21b8a0f5c231096f,"6' 1""",205 lbs.,"75.0""",Orthodox,16,10,0
Cortez Coleman,Cortez,Coleman,Hollywood,http://www.ufcstats.com/fighter-details/ffb20ae0db47ebe6,"6' 1""",185 lbs.,--,,13,8,0
Clay Collard,Clay,Collard,Cassius,http://www.ufcstats.com/fighter-details/cc900c6a71ed23f3,"5' 11""",145 lbs.,"73.0""",Orthodox,14,7,0
Jamie Colleen,Jamie,Colleen,,http://www.ufcstats.com/fighter-details/6b64db453edf4c50,"5' 3""",115 lbs.,"65.0""",Orthodox,4,1,0
Jake Collier,Jake,Collier,The Prototype,http://www.ufcstats.com/fighter-details/92fa1401b7927da3,"6' 3""",230 lbs.,"78.0""",Orthodox,13,10,0
Christian Colombo,Christian,Colombo,,http://www.ufcstats.com/fighter-details/9123c54d0a2b72dd,"6' 5""",265 lbs.,--,Orthodox,8,3,1
Willian Colorado,Willian,Colorado,,http://www.ufcstats.com/fighter-details/dfc7f0a2d91ad337,"5' 10""",135 lbs.,"72.0""",,11,1,0
Wes Combs,Wes,Combs,The Soldier,http://www.ufcstats.com/fighter-details/a85998eb79650b2c,"6' 2""",205 lbs.,--,Orthodox,20,6,0
Rose Conceicao,Rose,Conceicao,,http://www.ufcstats.com/fighter-details/a76c07e8e4c76e9a,"4' 7""",115 lbs.,"65.0""",Orthodox,7,1,0
Roque Conceicao,Roque,Conceicao,,http://www.ufcstats.com/fighter-details/b4ebc1539a08054b,"5' 4""",125 lbs.,"67.0""",Orthodox,10,3,0
Carlos Condit,Carlos,Condit,The Natural Born Killer,http://www.ufcstats.com/fighter-details/f9f07bb5a43535ed,"6' 2""",170 lbs.,"75.0""",Orthodox,32,14,0
Chris Condo,Chris,Condo,,http://www.ufcstats.com/fighter-details/41e77dc504a192c6,"6' 0""",335 lbs.,--,Orthodox,0,1,0
Jack Congdon,Jack,Congdon,.50 Cal,http://www.ufcstats.com/fighter-details/c44530d3969134a3,"6' 2""",170 lbs.,"75.0""",Switch,7,2,0
Tristan Connelly,Tristan,Connelly,Boondock,http://www.ufcstats.com/fighter-details/2ebfbe72ed703925,"5' 10""",145 lbs.,"68.0""",Orthodox,14,8,0
Marcos Conrado Jr.,Marcos,Conrado Jr.,,http://www.ufcstats.com/fighter-details/d450769115a193c2,"6' 2""",220 lbs.,--,Orthodox,5,1,0
Jeremiah Constant,Jeremiah,Constant,,http://www.ufcstats.com/fighter-details/18f5669a92e99d92,"6' 1""",240 lbs.,--,Orthodox,11,8,0
Jonathan Contrestano,Jonathan,Contrestano,JT,http://www.ufcstats.com/fighter-details/06d4eb8123087123,--,155 lbs.,--,,6,0,0
Bob Cook,Bob,Cook,Crazy,http://www.ufcstats.com/fighter-details/1c061eb6e29eaa0a,"5' 9""",170 lbs.,--,Orthodox,5,0,0
Mike Cook,Mike,Cook,,http://www.ufcstats.com/fighter-details/3ab0df1ddd5f1dc2,"6' 1""",205 lbs.,--,Orthodox,13,13,0
Chad Cook,Chad,Cook,,http://www.ufcstats.com/fighter-details/e6daf9cdbf0da889,"6' 2""",205 lbs.,--,,10,12,0
TJ Cook,TJ,Cook,,http://www.ufcstats.com/fighter-details/fa238ecfd048f7d8,--,205 lbs.,--,,13,5,0
Dewey Cooper,Dewey,Cooper,The Black Cobra,http://www.ufcstats.com/fighter-details/5efaaf313b652dd7,--,205 lbs.,--,,2,1,0
Brett Cooper,Brett,Cooper,,http://www.ufcstats.com/fighter-details/88ffe9745e218dd8,"6' 0""",170 lbs.,--,Orthodox,23,12,0
Bill Cooper,Bill,Cooper,,http://www.ufcstats.com/fighter-details/78bd6940d093fd33,--,155 lbs.,--,,2,1,0
Bobby Cooper,Bobby,Cooper,Super Duper,http://www.ufcstats.com/fighter-details/1b51895e5572cfda,"6' 1""",155 lbs.,--,,12,7,0
Amanda Cooper,Amanda,Cooper,ABC,http://www.ufcstats.com/fighter-details/d4a31850a7457f1b,"5' 3""",115 lbs.,"64.0""",Switch,3,5,0
Kit Cope,Kit,Cope,Havoc,http://www.ufcstats.com/fighter-details/ce47f49e5c386a9c,"6' 0""",170 lbs.,--,Orthodox,6,7,0
Chris Cope,Chris,Cope,C-Murder,http://www.ufcstats.com/fighter-details/8c8c92a12621d7e0,"6' 0""",170 lbs.,"72.0""",Orthodox,8,4,0
Josh Copeland,Josh,Copeland,Cuddly Bear,http://www.ufcstats.com/fighter-details/3aa794cbe1e3484b,"6' 1""",265 lbs.,--,Orthodox,12,4,0
Michael Cora,Michael,Cora,Kookie Monster,http://www.ufcstats.com/fighter-details/2b91eff985b532cd,"6' 1""",170 lbs.,"77.0""",Southpaw,4,1,0
Akira Corassani,Akira,Corassani,,http://www.ufcstats.com/fighter-details/3f52ce18fb98008f,"5' 8""",145 lbs.,"68.0""",Orthodox,12,6,0
Muhsin Corbbrey,Muhsin,Corbbrey,,http://www.ufcstats.com/fighter-details/1f9344211ca7fd60,"5' 10""",155 lbs.,--,Orthodox,17,9,0
Alden Coria,Alden,Coria,Cobra,http://www.ufcstats.com/fighter-details/5e9ca8dd7d783a75,"5' 8""",125 lbs.,"67.0""",Orthodox,12,3,0
Daniel Cormier,Daniel,Cormier,DC,http://www.ufcstats.com/fighter-details/d967f0128c323de6,"5' 11""",235 lbs.,"72.0""",Orthodox,22,3,0
Nora Cornolle,Nora,Cornolle,,http://www.ufcstats.com/fighter-details/f2b3f4ef3f780168,"5' 7""",135 lbs.,"67.0""",Orthodox,9,4,0
Clint Coronel,Clint,Coronel,,http://www.ufcstats.com/fighter-details/fe67cd6423f7a8ad,--,155 lbs.,--,,2,5,0
Henry Corrales,Henry,Corrales,,http://www.ufcstats.com/fighter-details/7cb0946d51b8cde7,"5' 9""",145 lbs.,--,,13,3,0
Bethe Correia,Bethe,Correia,Pitbull,http://www.ufcstats.com/fighter-details/673ea7dcc786b1b3,"5' 5""",135 lbs.,"64.0""",Orthodox,11,6,1
Wesley Correira,Wesley,Correira,Cabbage,http://www.ufcstats.com/fighter-details/4e9fb05d7e5e61b8,"6' 3""",260 lbs.,--,Orthodox,20,16,0
Waldo Cortes Acosta,Waldo,Cortes Acosta,Salsa Boy,http://www.ufcstats.com/fighter-details/fc08099550072fe4,"6' 4""",260 lbs.,"78.0""",Orthodox,17,2,0
Tracy Cortez,Tracy,Cortez,,http://www.ufcstats.com/fighter-details/68d4a891e5cf2029,"5' 5""",125 lbs.,"65.0""",Orthodox,12,3,0
Reyes Cortez Jr.,Reyes,Cortez Jr.,,http://www.ufcstats.com/fighter-details/1a7d44196949577c,"5' 7""",135 lbs.,"68.0""",Orthodox,7,3,0
Chad Corvin,Chad,Corvin,The Brave Warrior,http://www.ufcstats.com/fighter-details/1267b631db78665a,"6' 5""",255 lbs.,--,,5,0,0
Louis Cosce,Louis,Cosce,,http://www.ufcstats.com/fighter-details/afe8d5b39ff7fca2,"5' 9""",170 lbs.,"71.0""",Orthodox,7,2,0
Orion Cosce,Orion,Cosce,Galaxy,http://www.ufcstats.com/fighter-details/2c010b26a3306969,"5' 11""",170 lbs.,"71.0""",Switch,8,2,0
Miguel Cosio,Miguel,Cosio,,http://www.ufcstats.com/fighter-details/d150c6fbdb7687f4,"6' 4""",205 lbs.,--,,1,13,0
Jadson Costa,Jadson,Costa,,http://www.ufcstats.com/fighter-details/222d6b547de2e035,"5' 7""",155 lbs.,--,Orthodox,22,8,0
Guilherme Costa,Guilherme,Costa,The Prodigy,http://www.ufcstats.com/fighter-details/28877eddb1c0b967,--,155 lbs.,--,,7,1,0
Paulo Costa,Paulo,Costa,The Eraser,http://www.ufcstats.com/fighter-details/2e5c2aa8e4ab9d82,"6' 1""",205 lbs.,"72.0""",Orthodox,16,4,0
Randy Costa,Randy,Costa,The Zohan,http://www.ufcstats.com/fighter-details/325ad0dd9126d3df,"5' 9""",135 lbs.,"73.0""",Switch,6,4,0
Alessandro Costa,Alessandro,Costa,Nono,http://www.ufcstats.com/fighter-details/3fa97913cfd205d3,"5' 4""",125 lbs.,"67.0""",Orthodox,15,5,0
Melquizael Costa,Melquizael,Costa,The Dalmatian,http://www.ufcstats.com/fighter-details/20bccc9bb4ceb23e,"5' 10""",145 lbs.,"71.0""",Southpaw,26,7,0
Vitor Costa,Vitor,Costa,,http://www.ufcstats.com/fighter-details/c41cbb5bf944ca54,"6' 2""",185 lbs.,"75.0""",Orthodox,8,2,0
Oscar Cota,Oscar,Cota,Elevation,http://www.ufcstats.com/fighter-details/f584a6e0b5b74604,"6' 0""",230 lbs.,"72.0""",Orthodox,11,3,0
Patrick Cote,Patrick,Cote,The Predator,http://www.ufcstats.com/fighter-details/9fa3bd637edd9aa2,"5' 11""",170 lbs.,"75.0""",Orthodox,23,11,0
JC Cottrell,JC,Cottrell,,http://www.ufcstats.com/fighter-details/3ec1e4ba98c9c85a,"5' 9""",155 lbs.,--,Orthodox,17,5,0
JR Coughran,JR,Coughran,Bam Bam,http://www.ufcstats.com/fighter-details/8112c9a23dccc759,"5' 6""",145 lbs.,--,Orthodox,4,1,0
Rashad Coulter,Rashad,Coulter,Daywalker,http://www.ufcstats.com/fighter-details/d1528ac5675558b1,"5' 11""",205 lbs.,"76.0""",Orthodox,9,4,0
Dave Courchaine,Dave,Courchaine,,http://www.ufcstats.com/fighter-details/79ab17db3b40831a,"5' 8""",170 lbs.,--,,20,7,0
Randy Couture,Randy,Couture,The Natural,http://www.ufcstats.com/fighter-details/0aa92558424ced9e,"6' 1""",205 lbs.,"75.0""",Orthodox,19,11,0
Kim Couture,Kim,Couture,Sugar Free,http://www.ufcstats.com/fighter-details/84c43f0d25f15b0b,"5' 8""",135 lbs.,--,Orthodox,3,8,0
Ryan Couture,Ryan,Couture,,http://www.ufcstats.com/fighter-details/46fd223e3ced39b3,"5' 10""",155 lbs.,"73.0""",Orthodox,11,5,0
Nikk Covert,Nikk,Covert,The Brick,http://www.ufcstats.com/fighter-details/400c7b43c86d27d3,"5' 8""",185 lbs.,--,,3,4,0
Colby Covington,Colby,Covington,Chaos,http://www.ufcstats.com/fighter-details/dc9572dd6ec74859,"5' 11""",170 lbs.,"72.0""",Orthodox,17,5,0
Hailey Cowan,Hailey,Cowan,All Hail,http://www.ufcstats.com/fighter-details/3c26c420584d912d,"5' 8""",135 lbs.,"67.0""",Southpaw,7,5,0
Jeff Cox,Jeff,Cox,The Grinder,http://www.ufcstats.com/fighter-details/c9bbf1a0285a8076,"5' 10""",155 lbs.,--,Orthodox,10,7,0
Nathan Coy,Nathan,Coy,Soulforce,http://www.ufcstats.com/fighter-details/15ec018d144710db,"5' 10""",170 lbs.,"69.0""",Southpaw,15,7,0
Andrew Craig,Andrew,Craig,Highlight,http://www.ufcstats.com/fighter-details/8a70ceb3edbe757b,"6' 1""",170 lbs.,"76.0""",Orthodox,9,4,0
Paul Craig,Paul,Craig,Bearjew,http://www.ufcstats.com/fighter-details/eabf206b162b3b83,"6' 3""",205 lbs.,"76.0""",Orthodox,17,10,1
Dan Cramer,Dan,Cramer,,http://www.ufcstats.com/fighter-details/480b702debcb5433,"6' 2""",170 lbs.,--,Orthodox,11,4,0
Alberto Crane,Alberto,Crane,,http://www.ufcstats.com/fighter-details/25433871e4eee0f4,"5' 5""",155 lbs.,--,Orthodox,15,5,0
Tim Credeur,Tim,Credeur,,http://www.ufcstats.com/fighter-details/89b8d1bf1ff09d1d,"6' 3""",185 lbs.,"75.0""",Orthodox,12,4,0
Paul Creighton,Paul,Creighton,,http://www.ufcstats.com/fighter-details/ed73c85164a5f5a4,"5' 6""",155 lbs.,--,Southpaw,3,1,0
Helena Crevar,Helena,Crevar,,http://www.ufcstats.com/fighter-details/a8c3ce469cb8b130,--,--,--,,0,0,0
Alexander Crispim,Alexander,Crispim,,http://www.ufcstats.com/fighter-details/15dedd05f8bcb475,--,145 lbs.,--,,8,6,0
Alex Crispin,Alex,Crispin,,http://www.ufcstats.com/fighter-details/8944a0f9b2f0ce6d,--,155 lbs.,--,,0,1,0
Melissa Croden,Melissa,Croden,Scare,http://www.ufcstats.com/fighter-details/51e2f44a8dbf6984,"5' 9""",135 lbs.,"68.0""",Orthodox,8,3,0
Kevin Croom,Kevin,Croom,Crash,http://www.ufcstats.com/fighter-details/35b3772629e27a49,"5' 11""",135 lbs.,"73.0""",Orthodox,21,15,0
Kiefer Crosbie,Kiefer,Crosbie,BDK,http://www.ufcstats.com/fighter-details/4729c93ba705a3bf,"5' 11""",170 lbs.,"70.0""",Switch,10,6,0
Ken Cross,Ken,Cross,The Boss,http://www.ufcstats.com/fighter-details/923767209632e08a,"6' 0""",155 lbs.,"72.0""",Southpaw,11,3,0
Jeff Crotty,Jeff,Crotty,,http://www.ufcstats.com/fighter-details/98601a40e9d96047,--,155 lbs.,--,,1,1,0
Allen Crowder,Allen,Crowder,Pretty Boy,http://www.ufcstats.com/fighter-details/a9d6e047ce48ab63,"6' 3""",245 lbs.,"76.0""",Orthodox,10,4,0
Daron Cruickshank,Daron,Cruickshank,Detroit Superstar,http://www.ufcstats.com/fighter-details/5f99b2bafb10305f,"5' 8""",155 lbs.,"72.0""",Switch,18,10,0
Richard Crunkilton,Richard,Crunkilton,Cleat,http://www.ufcstats.com/fighter-details/22ee260735da0d58,"5' 7""",155 lbs.,--,Orthodox,19,4,0
Jimmy Crute,Jimmy,Crute,,http://www.ufcstats.com/fighter-details/70e1f8a821b72c8b,"6' 2""",205 lbs.,"74.0""",Orthodox,14,4,2
Marcio Cruz,Marcio,Cruz,Pe de Pano,http://www.ufcstats.com/fighter-details/6aa1cbc1466e9a0b,"6' 4""",232 lbs.,--,Orthodox,8,3,0
Dominick Cruz,Dominick,Cruz,The Dominator,http://www.ufcstats.com/fighter-details/10f3ba6cd2f44a97,"5' 8""",135 lbs.,"68.0""",Orthodox,24,4,0
Aalon Cruz,Aalon,Cruz,,http://www.ufcstats.com/fighter-details/003d82fa384ca1d0,"6' 0""",145 lbs.,"78.0""",Switch,8,4,0
Timmy Cuamba,Timmy,Cuamba,Twilight,http://www.ufcstats.com/fighter-details/0e46690e55a8df75,"5' 9""",135 lbs.,"71.0""",Orthodox,10,3,0
Jay Cucciniello,Jay,Cucciniello,,http://www.ufcstats.com/fighter-details/683ea28a198936fe,"5' 7""",155 lbs.,--,Orthodox,8,1,0
Emilio Cuellar,Emilio,Cuellar,Show Kid,http://www.ufcstats.com/fighter-details/3aeb69b4a13ff0e8,--,125 lbs.,--,,6,1,0
Josh Culibao,Josh,Culibao,Kuya,http://www.ufcstats.com/fighter-details/6751eacd16bd59bc,"5' 10""",145 lbs.,"73.0""",Orthodox,11,4,1
Chris Culley,Chris,Culley,,http://www.ufcstats.com/fighter-details/e59b13321562eed3,--,145 lbs.,--,,20,15,0
Abel Cullum,Abel,Cullum,The Silent Assassin,http://www.ufcstats.com/fighter-details/2f8f3c69522db931,"5' 7""",139 lbs.,--,Orthodox,20,6,0
Zak Cummings,Zak,Cummings,,http://www.ufcstats.com/fighter-details/4ba8d454f762005d,"6' 0""",205 lbs.,"75.0""",Southpaw,25,7,0
Everett Cummings,Everett,Cummings,,http://www.ufcstats.com/fighter-details/05e4be525cb3578c,--,205 lbs.,--,,12,0,0
Patrick Cummins,Patrick,Cummins,Durkin,http://www.ufcstats.com/fighter-details/e51e5cb722bd47a8,"6' 2""",205 lbs.,"76.0""",Orthodox,10,7,0
Luke Cummo,Luke,Cummo,,http://www.ufcstats.com/fighter-details/93ce4ac89e3d7652,"6' 0""",170 lbs.,"74.0""",Orthodox,6,6,0
Hugo Cunha,Hugo,Cunha,Silverback,http://www.ufcstats.com/fighter-details/46a17755f80f63e8,"6' 3""",263 lbs.,"79.0""",Orthodox,8,2,0
Alton Cunningham,Alton,Cunningham,The Bo-Man,http://www.ufcstats.com/fighter-details/305bde44ff664788,"6' 2""",205 lbs.,"77.0""",Orthodox,4,2,0
AJ Cunningham,AJ,Cunningham,The Savage,http://www.ufcstats.com/fighter-details/d1053e55f00e53fe,"5' 10""",135 lbs.,"71.0""",Orthodox,11,5,0
Tommy Cuozzi Jr.,Tommy,Cuozzi Jr.,Little T,http://www.ufcstats.com/fighter-details/eb49fe2f85ae9526,"5' 9""",145 lbs.,"71.0""",Orthodox,8,1,0
Santo Curatolo,Santo,Curatolo,,http://www.ufcstats.com/fighter-details/b8b765e320a8db39,"5' 3""",125 lbs.,"62.0""",Southpaw,6,2,0
Larry Cureton,Larry,Cureton,,http://www.ufcstats.com/fighter-details/46f11d15c0134fe3,"6' 2""",240 lbs.,--,Orthodox,0,2,0
Jeff Curran,Jeff,Curran,Big Frog,http://www.ufcstats.com/fighter-details/a8ea84cbe1655f0a,"5' 6""",135 lbs.,"69.0""",Orthodox,36,18,1
Kailin Curran,Kailin,Curran,,http://www.ufcstats.com/fighter-details/05b43e0ead3df345,"5' 4""",115 lbs.,"65.0""",Orthodox,4,5,0
Pat Curran,Pat,Curran,Paddy Mike,http://www.ufcstats.com/fighter-details/d8291d0dd63da29c,"5' 9""",145 lbs.,--,,22,7,0
Will Currie,Will,Currie,Drago,http://www.ufcstats.com/fighter-details/b8ff02d5703eca3a,"6' 3""",185 lbs.,"76.0""",Switch,12,4,0
Chris Curtis,Chris,Curtis,Action-Man,http://www.ufcstats.com/fighter-details/5442f1bc4b47eaf3,"5' 10""",170 lbs.,"75.0""",Orthodox,32,13,0
Ion Cutelaba,Ion,Cutelaba,The Hulk,http://www.ufcstats.com/fighter-details/cd13728ae1151f46,"6' 1""",205 lbs.,"75.0""",Southpaw,20,11,1
Gleidson Cutis,Gleidson,Cutis,Poney,http://www.ufcstats.com/fighter-details/44a94bbde42246e4,"5' 9""",155 lbs.,--,Orthodox,7,4,0
Sarah D'alelio,Sarah,D'alelio,The Monster,http://www.ufcstats.com/fighter-details/ac45450f75d14f16,"5' 7""",145 lbs.,--,,11,7,0
Marcos da Matta,Marcos,da Matta,Parrumpinha,http://www.ufcstats.com/fighter-details/3b6d84343579fd33,"5' 4""",145 lbs.,--,,11,3,0
Henrique da Silva,Henrique,da Silva,Frankenstein,http://www.ufcstats.com/fighter-details/b0bd0c5425668b8f,"6' 3""",205 lbs.,"76.0""",Orthodox,14,5,0
Ariane da Silva,Ariane,da Silva,Queen of Violence,http://www.ufcstats.com/fighter-details/6551c64fbcd1a467,"5' 6""",125 lbs.,"67.0""",Orthodox,17,11,0
Alex Da Silva,Alex,Da Silva,Leko,http://www.ufcstats.com/fighter-details/c3ded6f7155f9ea4,"5' 8""",155 lbs.,"73.0""",Orthodox,21,4,0
Radley Da Silva,Radley,Da Silva,Snake Eyes,http://www.ufcstats.com/fighter-details/0d68c7bfdff1dc34,"5' 9""",145 lbs.,"71.0""",Orthodox,8,1,0
Henrique Da Silva Lopes,Henrique,Da Silva Lopes,Montanha,http://www.ufcstats.com/fighter-details/1f8cd7634e8286ff,"6' 3""",240 lbs.,--,,5,2,0
Deni Daffa,Deni,Daffa,,http://www.ufcstats.com/fighter-details/d28bef63e7d8d536,"6' 0""",155 lbs.,"74.0""",Orthodox,6,2,0
Nicolas Dalby,Nicolas,Dalby,Lokomotivo,http://www.ufcstats.com/fighter-details/9d19d9e4aa2662e8,"5' 11""",170 lbs.,"74.0""",Orthodox,24,6,1
Paul Daley,Paul,Daley,Semtex,http://www.ufcstats.com/fighter-details/23725c826c481e7f,"5' 9""",170 lbs.,"76.0""",Orthodox,39,15,2
Dave Dalgliesh,Dave,Dalgliesh,,http://www.ufcstats.com/fighter-details/ddbd0d6259ce57cc,"6' 2""",205 lbs.,--,Orthodox,30,19,2
Richard Dalton,Richard,Dalton,,http://www.ufcstats.com/fighter-details/6cd3dfc54f01287f,"6' 1""",205 lbs.,--,Orthodox,4,3,1
Aisling Daly,Aisling,Daly,Ais the Bash,http://www.ufcstats.com/fighter-details/e50cd77732d39967,"5' 2""",115 lbs.,"64.0""",Orthodox,16,6,0
Marko Damiani,Marko,Damiani,,http://www.ufcstats.com/fighter-details/6e9b5c74c0860deb,"6' 0""",170 lbs.,--,,0,2,0
Leonardo Damiani,Leonardo,Damiani,Puppy,http://www.ufcstats.com/fighter-details/acd870570949d8a2,"5' 10""",170 lbs.,"69.0""",Orthodox,10,3,1
Rodrigo Damm,Rodrigo,Damm,,http://www.ufcstats.com/fighter-details/a20d7dfaba74c067,"5' 7""",155 lbs.,"71.0""",Orthodox,13,9,0
Carina Damm,Carina,Damm,Beauty But the Beast,http://www.ufcstats.com/fighter-details/033343da4c0cff8a,"5' 4""",135 lbs.,--,,2,13,0
Batgerel Danaa,Batgerel,Danaa,Storm,http://www.ufcstats.com/fighter-details/3b0a516d2921e0d6,"5' 7""",135 lbs.,"70.0""",Orthodox,12,5,0
Cindy Dandois,Cindy,Dandois,Battlecat,http://www.ufcstats.com/fighter-details/9eef6584fab21fbb,"5' 7""",135 lbs.,--,Orthodox,8,3,0
Peter Danesoe,Peter,Danesoe,The Asian Viking,http://www.ufcstats.com/fighter-details/5f119b24c0f9679c,"5' 9""",135 lbs.,"68.0""",Orthodox,8,4,0
Jarjis Danho,Jarjis,Danho,Man Mountain,http://www.ufcstats.com/fighter-details/8614b7134913f5d5,"6' 3""",265 lbs.,"74.0""",Orthodox,7,1,1
Jose Daniel Medina,Jose,Daniel Medina,Chicho,http://www.ufcstats.com/fighter-details/baa9be02c3e3e038,"6' 0""",185 lbs.,"74.0""",Orthodox,11,7,0
Raymond Daniels,Raymond,Daniels,,http://www.ufcstats.com/fighter-details/fccb0fee256b7b4d,"6' 2""",185 lbs.,--,Southpaw,0,1,0
Marques Daniels,Marques,Daniels,,http://www.ufcstats.com/fighter-details/55a80a9365bc107d,--,155 lbs.,--,,5,5,0
Anvarbek Daniyalbekov,Anvarbek,Daniyalbekov,,http://www.ufcstats.com/fighter-details/859e0dafd04fe1ca,--,185 lbs.,--,,8,0,0
Alexandre Dantas,Alexandre,Dantas,Cafe,http://www.ufcstats.com/fighter-details/8dc46e9a7895ce1a,"6' 2""",238 lbs.,--,Orthodox,0,3,0
Eduardo Dantas,Eduardo,Dantas,Dudu,http://www.ufcstats.com/fighter-details/676a2e5ec4d7338c,"5' 10""",135 lbs.,--,,20,4,0
Mac Danzig,Mac,Danzig,,http://www.ufcstats.com/fighter-details/86f582852a5b240a,"5' 8""",155 lbs.,"70.0""",Orthodox,21,12,1
Karen Darabedyan,Karen,Darabedyan,,http://www.ufcstats.com/fighter-details/d2fa318f34d0aadc,"5' 7""",155 lbs.,"68.0""",Orthodox,13,6,0
Beneil Dariush,Beneil,Dariush,,http://www.ufcstats.com/fighter-details/08af939f41b5a57b,"5' 10""",155 lbs.,"72.0""",Southpaw,23,7,1
Sean Daugherty,Sean,Daugherty,,http://www.ufcstats.com/fighter-details/a683f9ddb70aa4bd,"6' 0""",175 lbs.,--,,0,2,0
Kyle Daukaus,Kyle,Daukaus,,http://www.ufcstats.com/fighter-details/d6c0cdd7e467c440,"6' 2""",185 lbs.,"76.0""",Southpaw,17,4,0
Chris Daukaus,Chris,Daukaus,,http://www.ufcstats.com/fighter-details/d0aaedcf7ccd0b45,"6' 3""",205 lbs.,"76.0""",Orthodox,12,7,0
Brian Davidson,Brian,Davidson,,http://www.ufcstats.com/fighter-details/42775dc893603154,"5' 6""",145 lbs.,--,,13,4,0
